JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005,,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,
Table 1.8      :  GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices ,,,,,,,,,,,Table 1.8      :  GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices (cont’d),,,,,,,,,,,Table 1.8      :   GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices  (cont’d),,,,,,,,,,,Table 1.8      :   GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices  (cont’d),,,,,,,,,,,Table 1.8      :   GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices (cont’d),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, RM (Juta/ Million),,,,,,,,,, RM (Juta/ Million) ,,,,,,,,,,, RM (Juta/ Million) ,,,,,,,,,,, RM (Juta/ Million) ,,,,,,,,,,, RM (Juta/ Million) ,,,
"b) Perlombongan 
    dan     
    Pengkuarian                        ",2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,d) Pembinaan,2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,"f) Perdagangan 
    Borong & 
    Runcit, 
    Penginapan,      
    Makanan dan 
    Minuman",2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,"h) Perkhidmatan-     
    perkhidmatan 
    Lain",2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,,,,,,,,,,,
"    Mining and 
   Quarrying",,,,,,,,,,,     Construction,,,,,,,,,,,"    Wholesale & Retail 
    Trade,     
     Accommodation,   
     Food and           
      Beverage",,,,,,,,,,,     Other Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,51,48,50,54,59,68,71,84,96,,Johor,"1,671","1,568","1,578","1,597","1,817","2,045","2,029","2,397","2,591",,Johor,"4,739","5,092","5,812","6,595","6,633","7,181","7,682","8,012","8,451",,Johor,"2,497","2,531","2,598","2,685","2,765","2,905","3,097","3,208","3,299",,,,,,,,,,,,
Kedah,17,17,18,18,19,19,20,24,27,,Kedah,480,454,521,571,538,541,545,609,544,,Kedah,"2,024","2,145","2,500","2,802","2,905","3,164","3,317","3,421","3,716",,Kedah,"1,614","1,652","1,689","1,798","1,867","1,926","2,010","2,060","2,140",,,,,,,,,,,,
Kelantan,17,14,16,16,16,16,18,21,24,,Kelantan,177,169,159,176,195,207,205,229,184,,Kelantan,"1,624","1,681","1,883","2,058","2,164","2,199","2,304","2,406","2,510",,Kelantan,"1,142","1,174","1,204","1,263","1,313","1,357","1,410","1,458","1,531",,,,,,,,,,,,
Melaka,8,7,8,8,8,8,9,10,12,,Melaka,340,314,486,524,553,570,579,906,693,,Melaka,"1,861","2,031","2,351","2,670","2,965","3,040","3,242","3,362","3,541",,Melaka,960,941,"1,007","1,052","1,088","1,131","1,206","1,242","1,291",,,,,,,,,,,,
Negeri Sembilan,18,18,19,19,20,21,21,25,28,,Negeri Sembilan,412,403,436,495,540,583,612,693,711,,Negeri Sembilan,"1,686","1,768","2,033","2,309","2,428","2,619","2,705","2,829","2,989",,Negeri Sembilan,"1,046","1,013","1,139","1,203","1,303","1,376","1,415","1,478","1,537",,,,,,,,,,,,
Pahang,101,80,110,100,121,179,198,217,235,,Pahang,575,572,576,662,696,782,761,873,927,,Pahang,"3,213","3,345","3,866","4,148","4,180","4,535","4,713","4,905","5,058",,Pahang,"2,812","2,848","3,078","3,208","3,279","3,423","3,659","3,769","4,027",,,,,,,,,,,,
